epoch,accuracy,iou_fun,loss,lr,precision,recall,val_accuracy,val_iou_fun,val_loss,val_precision,val_recall
0,0.96177875995636,0.377056181430817,0.134216725826263,0.0001,0.716057896614075,0.443483024835587,0.960466265678406,0.544242739677429,0.125093087553978,0.748437583446503,0.665670692920685
1,0.970471680164337,0.522509574890137,0.095458425581455,0.0001,0.772984445095062,0.614699244499206,0.964591979980469,0.589933156967163,0.111492767930031,0.767707884311676,0.717168152332306
2,0.972733795642853,0.555385291576386,0.087671905755997,0.0001,0.789151966571808,0.651627659797668,0.965070307254791,0.597876191139221,0.110078409314156,0.764086246490479,0.733341753482819
3,0.973937511444092,0.57353949546814,0.08349584043026,0.0001,0.797787368297577,0.670567572116852,0.966659128665924,0.606833457946777,0.105168804526329,0.786320388317108,0.726873099803925
4,0.974791169166565,0.587296545505524,0.080445505678654,0.0001,0.803484916687012,0.684317827224731,0.966132879257202,0.582247793674469,0.106428131461144,0.817435204982758,0.672003269195557
5,0.975527107715607,0.597630381584168,0.077500872313976,0.0001,0.808347404003143,0.696075618267059,0.967249155044556,0.588268220424652,0.107797585427761,0.83774209022522,0.66683292388916
6,0.97623085975647,0.606892228126526,0.075030528008938,0.0001,0.813036322593689,0.707147300243378,0.968156099319458,0.607918918132782,0.105156920850277,0.821826338768005,0.702861368656158
7,0.976844727993012,0.619142770767212,0.072748921811581,0.0001,0.816649258136749,0.717362284660339,0.967720031738281,0.609495580196381,0.102556072175503,0.806686818599701,0.715876519680023
8,0.978381335735321,0.641198575496674,0.067080587148666,1E-05,0.826211452484131,0.741762101650238,0.968845367431641,0.619828641414642,0.101195842027664,0.818462610244751,0.719880819320679
9,0.978964567184448,0.651064038276672,0.064971625804901,1E-05,0.829725801944733,0.751040160655975,0.968975305557251,0.623728930950165,0.101074576377869,0.812846004962921,0.730158627033233
10,0.979289472103119,0.655983328819275,0.06353085488081,1E-05,0.831328809261322,0.756659626960754,0.968685567378998,0.620300471782684,0.102350018918514,0.812251746654511,0.725694358348846
11,0.979572892189026,0.660205543041229,0.062431178987026,1E-05,0.832755982875824,0.761517107486725,0.968858599662781,0.622713208198547,0.102681070566177,0.811432123184204,0.730053186416626
12,0.979899883270264,0.665425300598145,0.061144679784775,1E-05,0.83480167388916,0.766537249088287,0.968721508979797,0.61972177028656,0.104098170995712,0.813580453395844,0.724460303783417
13,0.98019814491272,0.670404613018036,0.059921454638243,1E-06,0.837004601955414,0.770640432834625,0.968807756900787,0.622511923313141,0.104278892278671,0.810605525970459,0.73031347990036
14,0.980250656604767,0.671936631202698,0.059778857976198,1E-06,0.837293148040772,0.771494567394257,0.968840062618256,0.623355329036713,0.104306429624558,0.810053110122681,0.73171204328537
